Intent,Patterns,Responses
technical_issue,Product setup|Peripheral compatibility|Network problem|Installation support|Hardware issue|Refund request|Product recommendation|Product compatibility|Account access|Software bug|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Sure! Let's troubleshoot your technical issue.
product_setup,Product setup|Installation support|Network problem|Hardware issue|Refund request|Product recommendation|Product compatibility|Account access|Software bug|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Let me help you with the product setup.
product_compatibility,Product compatibility|Network problem|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Software bug|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Let me check the product compatibility for you.
network_problem,Network problem|Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Software bug|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Let's troubleshoot your network problem.
software_bug,Software bug|Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Network problem|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Let's troubleshoot the software bug.
display_issue,Display issue|Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Network problem|Software bug|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Let's troubleshoot the display issue.
battery_life,Battery life|Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Network problem|Software bug|Display issue|Delivery problem|Cancellation request|Data loss|Payment issue,Let's check the battery life issue.
delivery_problem,Delivery problem|Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Network problem|Software bug|Display issue|Battery life|Cancellation request|Data loss|Payment issue,Let's check the delivery status.
peripheral_compatibility,Peripheral compatibility|Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Network problem|Software bug|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Let me check the peripheral compatibility for you.
installation_support,Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Account access|Network problem|Software bug|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Let me assist you with the installation.
account_access,Account access|Installation support|Hardware issue|Refund request|Product recommendation|Product setup|Network problem|Software bug|Display issue|Battery life|Delivery problem|Cancellation request|Data loss|Payment issue,Please provide your account details to assist you with access.
billing_inquiry,Account access|Data loss|Product setup|Product recommendation|Cancellation request|Product compatibility|Payment issue|Hardware issue|Display issue|Delivery problem|Refund request|Software bug|Peripheral compatibility|Network problem|Installation support|Battery life,Let me assist you with your billing issue.
cancellation_request,Payment issue|Data loss|Installation support|Delivery problem|Product setup|Cancellation request|Product recommendation|Network problem|Software bug|Peripheral compatibility|Account access|Battery life|Hardware issue|Refund request|Product compatibility|Display issue,I'm happy to assist you!
product_inquiry,Refund request|Software bug|Account access|Payment issue|Peripheral compatibility|Display issue|Product compatibility|Installation support|Cancellation request|Battery life|Product recommendation|Delivery problem|Hardware issue|Network problem|Product setup|Data loss,I can provide you information about our products.
refund_request,Battery life|Payment issue|Software bug|Hardware issue|Installation support|Product compatibility|Network problem|Peripheral compatibility|Refund request|Delivery problem|Product recommendation|Display issue|Data loss|Cancellation request|Account access|Product setup,I'm happy to assist you!
product_recommendation,Product setup|Refund request|Network problem|Software bug|Battery life|Product compatibility|Installation support|Peripheral compatibility|Display issue|Cancellation request|Account access|Data loss|Payment issue|Delivery problem|Hardware issue,Let me help you with product recommendations.
product_recommendation,Product setup|Refund request|Network problem|Software bug|Battery life|Product compatibility|Installation support|Peripheral compatibility|Display issue|Cancellation request|Account access|Data loss|Payment issue|Delivery problem|Hardware issue|Product recommendation,Let me help you with product recommendations.
greeting,hello|hi|hey|good morning|good evening,Hello! How can I help you today?
order_status,order|order status|track order|where is my order,Let me help you track your order. Could you please give me the order ID?
refund_request,refund|return|money back,I can help you with refunds. Could you tell me the order ID?
product_inquiry,tcl|samsung|product|item|buy,Sure! Tell me which product you are interested in.
goodbye,bye|goodbye|see you|later,Goodbye! Have a great day!
thank_you,thank you|thanks|appreciate it,You're welcome! If you have any more questions, feel free to ask.
product_setup,setup|installation|how to set up|how to install,Let me guide you through the setup process.
network_issue,network|internet|connectivity|Wi-Fi,Let's troubleshoot your network issue.
account_access,login|sign in|account|password,Please provide your account details to assist you with access.
technical_support,help|support|assistance|troubleshoot,I'm here to help you with technical support.
product_compatibility,compatible|works with|supports|compatible with,Let me check the compatibility of the product for you.
hardware_issue,hardware|device|malfunction|broken,Let's troubleshoot your hardware issue.
software_issue,software|application|program|bug,If your software is crashing or not responding, please try restarting it. If the issue persists, reinstall the application or check for updates. Let me know the exact error message for more help.